product_id,name,time,source,intended_usage,tdp (W),cores,threads
230575,Intel® Core™ i3-13100 Processor,2025-03-20 15:49:32,https://www.intel.com/content/www/us/en/products/sku/230575/intel-core-i313100-processor-12m-cache-up-to-4-50-ghz/specifications.html,local,60,4,8
232163,Intel® Core™ i3-13100E Processor,2025-03-20 15:49:33,https://www.intel.com/content/www/us/en/products/sku/232163/intel-core-i313100e-processor-12m-cache-up-to-4-40-ghz/specifications.html,local,60,4,8
230576,Intel® Core™ i3-13100F Processor,2025-03-20 15:49:33,https://www.intel.com/content/www/us/en/products/sku/230576/intel-core-i313100f-processor-12m-cache-up-to-4-50-ghz/specifications.html,local,58,4,8
230579,Intel® Core™ i3-13100T Processor,2025-03-20 15:49:34,https://www.intel.com/content/www/us/en/products/sku/230579/intel-core-i313100t-processor-12m-cache-up-to-4-20-ghz/specifications.html,local,35,4,8
232105,Intel® Core™ i3-13100TE Processor,2025-03-20 15:49:35,https://www.intel.com/content/www/us/en/products/sku/232105/intel-core-i313100te-processor-12m-cache-up-to-4-10-ghz/specifications.html,local,35,4,8
232136,Intel® Core™ i3-1315U Processor,2025-03-20 15:49:35,https://www.intel.com/content/www/us/en/products/sku/232136/intel-core-i31315u-processor-10m-cache-up-to-4-50-ghz/specifications.html,local,15,6,8
233391,Intel® Core™ i3-1315UE Processor,2025-03-20 15:49:35,https://www.intel.com/content/www/us/en/products/sku/233391/intel-core-i31315ue-processor-10m-cache-up-to-4-50-ghz/specifications.html,local,15,6,8
235942,Intel® Core™ i3-1315URE Processor,2025-03-20 15:49:36,https://www.intel.com/content/www/us/en/products/sku/235942/intel-core-i31315ure-processor-10m-cache-up-to-4-50-ghz/specifications.html,local,15,6,8
232169,Intel® Core™ i3-1320PE Processor,2025-03-20 15:49:36,https://www.intel.com/content/www/us/en/products/sku/232169/intel-core-i31320pe-processor-12m-cache-up-to-4-50-ghz/specifications.html,local,28,8,12
232151,Intel® Core™ i3-13300HE Processor,2025-03-20 15:49:36,https://www.intel.com/content/www/us/en/products/sku/232151/intel-core-i313300he-processor-12m-cache-up-to-4-60-ghz/specifications.html,local,45,8,12
235072,Intel® Core™ i3-1320PRE Processor,2025-03-20 15:49:37,https://www.intel.com/content/www/us/en/products/sku/235072/intel-core-i31320pre-processor-12m-cache-up-to-4-50-ghz/specifications.html,local,28,8,12
235075,Intel® Core™ i3-13300HRE Processor,2025-03-20 15:49:37,https://www.intel.com/content/www/us/en/products/sku/235075/intel-core-i313300hre-processor-12m-cache-up-to-4-60-ghz/specifications.html,local,45,8,12
228441,Intel® Core™ i9-12900HX Processor,2025-03-20 15:49:38,https://www.intel.com/content/www/us/en/products/sku/228441/intel-core-i912900hx-processor-30m-cache-up-to-5-00-ghz/specifications.html,local,55,16,24
228439,Intel® Core™ i9-12950HX Processor,2025-03-20 15:49:38,https://www.intel.com/content/www/us/en/products/sku/228439/intel-core-i912950hx-processor-30m-cache-up-to-5-00-ghz/specifications.html,local,55,16,24
225916,Intel® Core™ i9-12900KS Processor,2025-03-20 15:49:38,https://www.intel.com/content/www/us/en/products/sku/225916/intel-core-i912900ks-processor-30m-cache-up-to-5-50-ghz/specifications.html,local,150,16,24
134597,Intel® Core™ i9-12900 Processor,2025-03-20 15:49:39,https://www.intel.com/content/www/us/en/products/sku/134597/intel-core-i912900-processor-30m-cache-up-to-5-10-ghz/specifications.html,local,65,16,24
132212,Intel® Core™ i9-12900E Processor,2025-03-20 15:49:39,https://www.intel.com/content/www/us/en/products/sku/132212/intel-core-i912900e-processor-30m-cache-up-to-5-00-ghz/specifications.html,local,65,16,24
134598,Intel® Core™ i9-12900F Processor,2025-03-20 15:49:40,https://www.intel.com/content/www/us/en/products/sku/134598/intel-core-i912900f-processor-30m-cache-up-to-5-10-ghz/specifications.html,local,65,16,24
132214,Intel® Core™ i9-12900H Processor,2025-03-20 15:49:40,https://www.intel.com/content/www/us/en/products/sku/132214/intel-core-i912900h-processor-24m-cache-up-to-5-00-ghz/specifications.html,local,45,14,20
132215,Intel® Core™ i9-12900HK Processor,2025-03-20 15:49:41,https://www.intel.com/content/www/us/en/products/sku/132215/intel-core-i912900hk-processor-24m-cache-up-to-5-00-ghz/specifications.html,local,45,14,20
134601,Intel® Core™ i9-12900T Processor,2025-03-20 15:49:42,https://www.intel.com/content/www/us/en/products/sku/134601/intel-core-i912900t-processor-30m-cache-up-to-4-90-ghz/specifications.html,local,35,16,24
132211,Intel® Core™ i9-12900TE Processor,2025-03-20 15:49:42,https://www.intel.com/content/www/us/en/products/sku/132211/intel-core-i912900te-processor-30m-cache-up-to-4-80-ghz/specifications.html,local,35,16,24
134599,Intel® Core™ i9-12900K Processor,2025-03-20 15:49:43,https://www.intel.com/content/www/us/en/products/sku/134599/intel-core-i912900k-processor-30m-cache-up-to-5-20-ghz/specifications.html,local,125,16,24
134600,Intel® Core™ i9-12900KF Processor,2025-03-20 15:49:43,https://www.intel.com/content/www/us/en/products/sku/134600/intel-core-i912900kf-processor-30m-cache-up-to-5-20-ghz/specifications.html,local,125,16,24
230904,Intel® Core™ i7-1255UL Processor,2025-03-20 15:49:44,https://www.intel.com/content/www/us/en/products/sku/230904/intel-core-i71255ul-processor-12m-cache-up-to-4-70-ghz/specifications.html,local,15,10,12
230905,Intel® Core™ i7-1265UL Processor,2025-03-20 15:49:44,https://www.intel.com/content/www/us/en/products/sku/230905/intel-core-i71265ul-processor-12m-cache-up-to-4-80-ghz/specifications.html,local,15,10,12
228459,Intel® Core™ i7-12700HL Processor,2025-03-20 15:49:44,https://www.intel.com/content/www/us/en/products/sku/228459/intel-core-i712700hl-processor-24m-cache-up-to-4-70-ghz/specifications.html,local,45,14,20
229953,Intel® Core™ i7-12800HL Processor,2025-03-20 15:49:45,https://www.intel.com/content/www/us/en/products/sku/229953/intel-core-i712800hl-processor-24m-cache-up-to-4-80-ghz/specifications.html,local,45,14,20
228795,Intel® Core™ i7-12650HX Processor,2025-03-20 15:49:45,https://www.intel.com/content/www/us/en/products/sku/228795/intel-core-i712650hx-processor-24m-cache-up-to-4-70-ghz/specifications.html,local,55,14,20
226058,Intel® Core™ i7-12800HX Processor,2025-03-20 15:49:46,https://www.intel.com/content/www/us/en/products/sku/226058/intel-core-i712800hx-processor-25m-cache-up-to-4-80-ghz/specifications.html,local,55,16,24
228442,Intel® Core™ i7-12850HX Processor,2025-03-20 15:49:46,https://www.intel.com/content/www/us/en/products/sku/228442/intel-core-i712850hx-processor-25m-cache-up-to-4-80-ghz/specifications.html,local,55,16,24
227853,Intel® Core™ i7-1265UE Processor,2025-03-20 15:49:47,https://www.intel.com/content/www/us/en/products/sku/227853/intel-core-i71265ue-processor-12m-cache-up-to-4-70-ghz/specifications.html,local,15,10,12
132217,Intel® Core™ i7-1270PE Processor,2025-03-20 15:49:47,https://www.intel.com/content/www/us/en/products/sku/132217/intel-core-i71270pe-processor-18m-cache-up-to-4-50-ghz/specifications.html,local,28,12,16
226454,Intel® Core™ i7-1250U Processor,2025-03-20 15:49:48,https://www.intel.com/content/www/us/en/products/sku/226454/intel-core-i71250u-processor-12m-cache-up-to-4-70-ghz/specifications.html,local,9,10,12
226259,Intel® Core™ i7-1255U Processor,2025-03-20 15:49:48,https://www.intel.com/content/www/us/en/products/sku/226259/intel-core-i71255u-processor-12m-cache-up-to-4-70-ghz/specifications.html,local,15,10,12
226254,Intel® Core™ i7-1260P Processor,2025-03-20 15:49:48,https://www.intel.com/content/www/us/en/products/sku/226254/intel-core-i71260p-processor-18m-cache-up-to-4-70-ghz/specifications.html,local,28,12,16
226455,Intel® Core™ i7-1260U Processor,2025-03-20 15:49:49,https://www.intel.com/content/www/us/en/products/sku/226455/intel-core-i71260u-processor-12m-cache-up-to-4-70-ghz/specifications.html,local,9,10,12
226258,Intel® Core™ i7-1265U Processor,2025-03-20 15:49:49,https://www.intel.com/content/www/us/en/products/sku/226258/intel-core-i71265u-processor-12m-cache-up-to-4-80-ghz/specifications.html,local,15,10,12
226255,Intel® Core™ i7-1270P Processor,2025-03-20 15:49:50,https://www.intel.com/content/www/us/en/products/sku/226255/intel-core-i71270p-processor-18m-cache-up-to-4-80-ghz/specifications.html,local,28,12,16
226253,Intel® Core™ i7-1280P Processor,2025-03-20 15:49:50,https://www.intel.com/content/www/us/en/products/sku/226253/intel-core-i71280p-processor-24m-cache-up-to-4-80-ghz/specifications.html,local,28,14,20
226066,Intel® Core™ i7-12650H Processor,2025-03-20 15:49:51,https://www.intel.com/content/www/us/en/products/sku/226066/intel-core-i712650h-processor-24m-cache-up-to-4-70-ghz/specifications.html,local,45,10,16
