name,launch date,source,intended usage,tdp (W),cores,threads
amd ryzen 7 5700g,2021-04-13,https://en.wikichip.org/wiki/amd/ryzen_7/5700g,Desktop,65.0,8,16.0
amd ryzen 7 5700ge,2021-04-13,https://en.wikichip.org/wiki/amd/ryzen_7/5700ge,Desktop,35.0,8,16.0
amd ryzen 7 5700u,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_7/5700u,Mobile,15.0,8,16.0
amd ryzen 7 5800,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_7/5800,Desktop,65.0,8,16.0
amd ryzen 7 5800h,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_7/5800h,Mobile,45.0,8,16.0
amd ryzen 7 5800hs,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_7/5800hs,Mobile,35.0,8,16.0
amd ryzen 7 5800u,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_7/5800u,Mobile,15.0,8,16.0
amd ryzen 7 5800x,2020-11-05,https://en.wikichip.org/wiki/amd/ryzen_7/5800x,Desktop,105.0,8,16.0
amd ryzen 7 5800x3d,2022-04-20,https://en.wikichip.org/wiki/amd/ryzen_7/5800x3d,Desktop,105.0,8,16.0
amd ryzen 7 7700,2023-01-10,https://en.wikichip.org/wiki/amd/ryzen_7/7700,Desktop,65.0,8,16.0
amd ryzen 7 7700x,2022-09-27,https://en.wikichip.org/wiki/amd/ryzen_7/7700x,Desktop,105.0,8,16.0
amd ryzen 7 7800x3d,,https://en.wikichip.org/wiki/amd/ryzen_7/7800x3d,Desktop,120.0,8,16.0
amd ryzen 7 pro 1700,,https://en.wikichip.org/wiki/amd/ryzen_7/pro_1700,Desktop,65.0,8,16.0
amd ryzen 7 pro 1700x,,https://en.wikichip.org/wiki/amd/ryzen_7/pro_1700x,Desktop,95.0,8,16.0
amd ryzen 7 pro 2700,2018-09-06,https://en.wikichip.org/wiki/amd/ryzen_7/pro_2700,Desktop,65.0,8,16.0
amd ryzen 7 pro 2700u,2018-01-08,https://en.wikichip.org/wiki/amd/ryzen_7/pro_2700u,Mobile,15.0,4,8.0
amd ryzen 7 pro 2700x,2018-09-06,https://en.wikichip.org/wiki/amd/ryzen_7/pro_2700x,Desktop,105.0,8,16.0
amd ryzen 7 pro 3700,2019-09-30,https://en.wikichip.org/wiki/amd/ryzen_7/pro_3700,Desktop,65.0,8,16.0
amd ryzen 7 pro 3700u,2019-04-08,https://en.wikichip.org/wiki/amd/ryzen_7/pro_3700u,Mobile,15.0,4,8.0
amd ryzen 7 pro 4750g,2020-07-21,https://en.wikichip.org/wiki/amd/ryzen_7/pro_4750g,Desktop,65.0,8,16.0
amd ryzen 7 pro 4750ge,2020-07-21,https://en.wikichip.org/wiki/amd/ryzen_7/pro_4750ge,Desktop,35.0,8,16.0
amd ryzen 7 pro 4750u,2020-05-07,https://en.wikichip.org/wiki/amd/ryzen_7/pro_4750u,Mobile,15.0,8,16.0
